Exception Archive
Fold  0
106 1016192_02_CM.txt 106 106 106 (71, 156) (71, 170) 71 71
107 1026162_02_KH.txt 107 107 107 (128, 156) (128, 170) 128 128
108 1028622_02_CM.txt 108 108 108 (156, 156) (156, 170) 156 156
110 1011352_02_KH.txt 109 109 109 (93, 156) (93, 170) 93 93
111 1058422_02_KH.txt 110 110 110 (138, 156) (138, 170) 138 138
112 1001252_02_CM.txt 111 111 111 (120, 156) (120, 170) 120 120
113 1087502_02_CM.txt 112 112 112 (56, 156) (56, 170) 56 56
115 1049092_02_CM.txt 113 113 113 (197, 156) (197, 170) 197 197
116 1047042_02_CM.txt 114 114 114 (105, 156) (105, 170) 105 105
117 1049042_02_CM.txt 115 115 115 (156, 156) (156, 170) 156 156
119 1069702_02_KH.txt 116 116 116 (166, 156) (166, 170) 166 166
120 1057442_02_CM.txt 117 117 117 (107, 156) (107, 170) 107 107
121 1105372_02_KH.txt 118 118 118 (145, 156) (145, 170) 145 145
122 1032032_02_KH.txt 119 119 119 (275, 156) (275, 170) 275 275
Fold  2
0 1047112_02_CM.txt 1 1 1 (87, 156) (87, 170) 87 87
1 1041702_02_KH.txt 2 2 2 (130, 156) (130, 170) 130 130
2 1050312_02_KH.txt 3 3 3 (97, 156) (97, 170) 97 97
3 1047102_02_CM.txt 4 4 4 (91, 156) (91, 170) 91 91
4 1006692_02_CM.txt 5 5 5 (153, 156) (153, 170) 153 153
5 1092432_02_KH.txt 6 6 6 (170, 156) (170, 170) 170 170
6 1047202_02_CM.txt 7 7 7 (40, 156) (40, 170) 40 40
7 1057382_02_CM.txt 8 8 8 (117, 156) (117, 170) 117 117
8 1058422_02_KH.txt 9 9 9 (138, 156) (138, 170) 138 138
9 1021082_02_CM.txt 10 10 10 (110, 156) (110, 170) 110 110
10 1004042_02_KH.txt 11 11 11 (124, 156) (124, 170) 124 124
11 1002932_02_KH.txt 12 12 12 (87, 156) (87, 170) 87 87
12 1026532_02_KH.txt 13 13 13 (195, 156) (195, 170) 195 195
13 1107882_02_CM.txt 14 14 14 (130, 156) (130, 170) 130 130
0 1010462_02_CM.txt 1 1 1 (186, 156) (186, 170) 186 186
1 1110532_02_CM.txt 2 2 2 (115, 156) (115, 170) 115 115
2 1111182_02_CM.txt 3 3 3 (50, 156) (50, 170) 50 50
